Exchange,Token,LotSize,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,
BFO,1158344,650,TCHMOPT,TATACHEM25AUG860CE,14-AUG-2025,OPTSTK,CE,860,0.05,
BFO,1144689,650,TCHMOPT,TATACHEM25AUG850CE,14-AUG-2025,OPTSTK,CE,850,0.05,
BFO,1148068,650,TCHMOPT,TATACHEM25AUG840CE,14-AUG-2025,OPTSTK,CE,840,0.05,
BFO,1150982,650,TCHMOPT,TATACHEM25AUG830CE,14-AUG-2025,OPTSTK,CE,830,0.05,
BFO,1154415,650,TCHMOPT,TATACHEM25AUG820CE,14-AUG-2025,OPTSTK,CE,820,0.05,
BFO,1143699,650,TCHMOPT,TATACHEM25AUG810CE,14-AUG-2025,OPTSTK,CE,810,0.05,
BFO,1146858,650,TCHMOPT,TATACHEM25AUG800CE,14-AUG-2025,OPTSTK,CE,800,0.05,
BFO,1148959,650,TCHMOPT,TATACHEM25AUG790CE,14-AUG-2025,OPTSTK,CE,790,0.05,
BFO,1152228,650,TCHMOPT,TATACHEM25AUG780CE,14-AUG-2025,OPTSTK,CE,780,0.05,
BFO,1158889,650,TCHMOPT,TATACHEM25AUG770CE,14-AUG-2025,OPTSTK,CE,770,0.05,
BFO,1144873,650,TCHMOPT,TATACHEM25AUG760CE,14-AUG-2025,OPTSTK,CE,760,0.05,
BFO,1148247,650,TCHMOPT,TATACHEM25AUG750CE,14-AUG-2025,OPTSTK,CE,750,0.05,
BFO,1151143,650,TCHMOPT,TATACHEM25AUG740CE,14-AUG-2025,OPTSTK,CE,740,0.05,
BFO,823171,1350,TATPOPT,TATAPOWER25JUN435PE,12-JUN-2025,OPTSTK,PE,435,0.05,
BFO,1137842,1350,TATPOPT,TATAPOWER25JUN430PE,12-JUN-2025,OPTSTK,PE,430,0.05,
BFO,1134295,1350,TATPOPT,TATAPOWER25JUN425PE,12-JUN-2025,OPTSTK,PE,425,0.05,
BFO,1100600,1350,TATPOPT,TATAPOWER25JUN420PE,12-JUN-2025,OPTSTK,PE,420,0.05,
BFO,889370,1350,TATPOPT,TATAPOWER25JUN415PE,12-JUN-2025,OPTSTK,PE,415,0.05,
BFO,889331,1350,TATPOPT,TATAPOWER25JUN410PE,12-JUN-2025,OPTSTK,PE,410,0.05,
BFO,888403,1350,TATPOPT,TATAPOWER25JUN405PE,12-JUN-2025,OPTSTK,PE,405,0.05,
BFO,887555,1350,TATPOPT,TATAPOWER25JUN400PE,12-JUN-2025,OPTSTK,PE,400,0.05,
BFO,887065,1350,TATPOPT,TATAPOWER25JUN395PE,12-JUN-2025,OPTSTK,PE,395,0.05,
BFO,887024,1350,TATPOPT,TATAPOWER25JUN390PE,12-JUN-2025,OPTSTK,PE,390,0.05,
BFO,884408,1350,TATPOPT,TATAPOWER25JUN385PE,12-JUN-2025,OPTSTK,PE,385,0.05,
BFO,884223,1350,TATPOPT,TATAPOWER25JUN380PE,12-JUN-2025,OPTSTK,PE,380,0.05,
BFO,879135,1350,TATPOPT,TATAPOWER25JUN375PE,12-JUN-2025,OPTSTK,PE,375,0.05,
BFO,878939,1350,TATPOPT,TATAPOWER25JUN370PE,12-JUN-2025,OPTSTK,PE,370,0.05,
BFO,880773,1350,TATPOPT,TATAPOWER25JUN365PE,12-JUN-2025,OPTSTK,PE,365,0.05,
BFO,880564,1350,TATPOPT,TATAPOWER25JUN360PE,12-JUN-2025,OPTSTK,PE,360,0.05,
BFO,882364,1350,TATPOPT,TATAPOWER25JUN355PE,12-JUN-2025,OPTSTK,PE,355,0.05,
BFO,882160,1350,TATPOPT,TATAPOWER25JUN350PE,12-JUN-2025,OPTSTK,PE,350,0.05,
BFO,883975,1350,TATPOPT,TATAPOWER25JUN345PE,12-JUN-2025,OPTSTK,PE,345,0.05,
BFO,883788,1350,TATPOPT,TATAPOWER25JUN340PE,12-JUN-2025,OPTSTK,PE,340,0.05,
BFO,885586,1350,TATPOPT,TATAPOWER25JUN335PE,12-JUN-2025,OPTSTK,PE,335,0.05,
BFO,885392,1350,TATPOPT,TATAPOWER25JUN330PE,12-JUN-2025,OPTSTK,PE,330,0.05,
BFO,880285,1350,TATPOPT,TATAPOWER25JUN325PE,12-JUN-2025,OPTSTK,PE,325,0.05,
BFO,880101,1350,TATPOPT,TATAPOWER25JUN320PE,12-JUN-2025,OPTSTK,PE,320,0.05,
